modelo,mecanica,som_polifonia,customizacao,score_geral,justificativa,priorizado
"Roland FP-90X",98,96,92,96.0,"Ação PHA-50 híbrida com madeira e polifonia ilimitada via modelagem PureAcoustic, superando o teto técnico de modelos como o FP-30X e garantindo precisão para dinâmicas complexas. | Veredito: Investimento definitivo para AHSD; elimina a necessidade de upgrade futuro (gasto duplo) ao oferecer a melhor resposta tátil e sonora disponível em formato portátil.",False
"Kawai ES920",95,98,88,94.0,"Ação RHIII com contrapesos e motor HI-XL oferecem resposta tátil e harmônica superior ao ES120, rivalizando com o FP-90X em expressividade e controle dinâmico. | Veredito: Investimento definitivo para evitar o gasto duplo; o teto técnico da mecânica e a profundidade do Virtual Technician atendem plenamente à curva de aprendizado acelerada de um perfil AHSD.",False
"Nord Piano 5",90,99,95,94.0,"Ação Fatar TP/40GH com sensores triplos e biblioteca de samples sem loops de alta fidelidade; a profundidade de edição e o ecossistema Nord Sound Manager superam a concorrência em versatilidade para perfis AHSD. | Veredito: Instrumento de 'estágio final' que evita o gasto duplo; embora a polifonia nominal de 120 seja inferior à Roland, a qualidade orgânica dos timbres e a flexibilidade de síntese garantem longevidade cognitiva.",False
"Yamaha P-525",94,92,90,92.0,"Ação GrandTouch-S com teclas de madeira e modelagem VRM avançada, superando o gargalo do P-145 e competindo diretamente com o FP-90X em fidelidade tátil e resposta harmônica. | Veredito: Investimento definitivo de nível profissional; elimina a necessidade de upgrade futuro devido à resposta tátil de alta precisão e motor sonoro complexo, evitando o gasto duplo para usuários AHSD.",False
"Dexibell Vivo S7 Pro",88,95,96,92.0,"O motor T2L com amostragem XXL de 15 segundos e polifonia ilimitada oferece uma resolução harmônica superior ao FP-90X, embora a ação Fatar TP/40GH, apesar de excelente, possua um pivot levemente inferior à PHA-50. | Veredito: Altamente recomendado para evitar o gasto duplo; a fidelidade de 24-bit/48kHz atende à demanda de processamento sensorial auditivo de usuários AHSD, eliminando a percepção de loops comuns em modelos inferiores.",False
"Viscount Legend 70s",85,90,98,90.0,"Arquitetura modular única com modelagem física (PM) e ação Fatar TP/40GH, superando a parametrização do NPK-20 e rivalizando com a fidelidade sonora do FP-90X. | Veredito: Investimento de longo prazo; a modularidade de hardware e o motor de modelagem física eliminam o teto de aprendizado, evitando o gasto duplo por obsolescência técnica.",False
"Casio PX-S6000",85,88,92,88.0,"Ação Smart Hybrid com teclas de madeira e resina aliada a uma polifonia de 256 notas; supera o FP-30X em expressividade e o NPK-20 em profundidade de DSP e efeitos em tempo real. | Veredito: Evita o gasto duplo por oferecer um teto técnico elevado tanto para performance clássica quanto para design sonoro, suportando o rápido avanço de processamento de usuários AHSD.",False
"Roland FP-E50",85,88,90,87.0,"Utiliza a ação PHA-4 com escapamento (mesma do FP-30X) e polifonia de 256 notas, mas se destaca pela integração do motor ZEN-Core, oferecendo uma paleta de timbres e síntese que atende à necessidade de exploração complexa do usuário AHSD. | Veredito: Excelente relação custo-benefício para evitar o gasto duplo; a mecânica é robusta o suficiente para o nível intermediário-avançado e a profundidade do motor ZEN-Core previne o tédio intelectual.",True
"Nux NPK-20",83,82,97,86.0,"Ação WKJ-03 com sensor triplo e escapamento oferece resposta tátil precisa, enquanto a parametrização via EQ de 9 bandas e compressão supera concorrentes diretos, satisfazendo a necessidade de controle granular do usuário AHSD. | Veredito: Representa um 'porto seguro' contra o gasto duplo em curto prazo; sua flexibilidade de processamento de sinal retarda a obsolescência técnica para alunos de evolução acelerada.",True
"Roland FP-30X",88,85,80,85.0,"Ação PHA-4 com escapamento e polifonia de 256 notas oferecem um teto técnico significativamente superior aos modelos de entrada, atendendo à demanda por precisão dinâmica de usuários AHSD. | Veredito: Representa o 'ponto ideal' de investimento para evitar o gasto duplo precoce, suportando o desenvolvimento técnico acelerado por anos antes de exigir um upgrade para mecânicas híbridas.",True
"Casio AP-450",86,85,78,84.0,"Ação Smart Hybrid Hammer com elementos em madeira e polifonia de 256 notas, superando a resposta tátil da linha FP-30X e a profundidade harmônica do ES120. | Veredito: Investimento sólido que mitiga o risco de 'gasto duplo'; a mecânica híbrida e o motor AiR suportam o avanço técnico acelerado de usuários AHSD sem frustrações precoces.",False
"Gewa PP-3",85,84,82,84.0,"Amostragem de alta resolução do Steinway D-274 e polifonia de 256 notas oferecem teto sonoro superior ao P-145, embora a ação Smart Touch seja menos refinada que a PHA-4 da Roland. | Veredito: Risco moderado de gasto duplo; o motor sonoro atende a demanda sensorial AHSD, mas a mecânica intermediária pode limitar o virtuosismo técnico em menos de 24 meses.",True
"Pearl River P200",88,85,75,84.0,"Mecânica Fatar com sensores triplos e polifonia de 512 notas, oferecendo um teto técnico de processamento superior ao Roland FP-30X e Kawai ES120. | Veredito: Excelente custo-benefício para AHSD; a polifonia de 512 notas elimina o risco de 'drop-out' em peças complexas, retardando a necessidade de upgrade por limitações de hardware.",True
"Kawai ES120",82,89,78,83.0,"Motor Harmonic Imaging com 192 notas de polifonia e Virtual Technician de 17 parâmetros, oferecendo ressonância superior à categoria, embora a ação RHC de sensor duplo limite o teto de repetição rápida para AHSD. | Veredito: Risco moderado de gasto duplo; a ausência de sensores triplos e escapamento pode frustrar o desenvolvimento de dinâmicas complexas (pp/ff) em alunos com progressão acelerada em 18 meses.",True
"Kawai KDP120",85,86,74,83.0,"Ação RHCII com sensores triplos e motor Harmonic Imaging com 192 notas de polifonia, superando o teto técnico de modelos de entrada como o P-145. | Veredito: Evita o gasto duplo inicial devido aos sensores triplos e ressonância de pedal, mas o teto de aprendizado AHSD pode exigir transição para mecânicas com escapamento (let-off) em médio prazo.",False
"Yamaha YDP-165",88,86,72,83.0,"Ação GH3 com sensores triplos oferece repetição superior ao P-145, mas a ausência de escapamento (let-off) e a modelagem VRM Lite o colocam abaixo da expressividade orgânica do Roland FP-90X. | Veredito: Risco moderado de gasto duplo; a solidez mecânica atende o médio prazo, mas a profundidade de parametrização limitada pode subestimar a velocidade de processamento e exigência tímbrica de um perfil AHSD.",False
